prob,error,minimum,feval,niter,convergence
cubic_-2.5_-8.5_-9.5_-10.0_200_48.csv,7.355171818183446,2044.2093973658273,6.0,6,true
cubic_-2.5_9.5_2.0_1.5_250_42.csv,7.845648575255382e-10,1.0062425471354406e-16,7.0,7,true
cubic_-3.0_1.5_-3.5_-6.5_300_39.csv,4.796119856820269e-8,5.29104641637382e-13,6.0,6,true
cubic_-3.0_-2.0_-3.5_-1.0_1000_100.csv,7.265862445038351e-8,1.0820063877150818e-12,9.0,9,true
cubic_-3.0_-2.0_9.0_-2.0_100_25.csv,5.46057776817932e-6,8.298926446278814e-11,9.0,9,true
cubic_3.0_-3.5_0.0_-2.5_500_90.csv,4.494322270400363,12267.434127598355,7.0,7,true
cubic_-3.0_3.5_1.0_-8.5_100_13.csv,1.6260729651662587e-8,1.0095372090459896e-14,6.0,6,true
cubic_3.0_4.5_-1.5_-6.0_350_88.csv,4.134530009710539,591.188770539736,8.0,8,true
cubic_-3.0_-4.5_7.5_-9.0_800_88.csv,3.6978713424673515e-8,2.2765753080099682e-14,8.0,8,true
cubic_-3.0_5.0_2.0_2.0_450_94.csv,5.1088910879570903e-11,2.0099966652113245e-19,11.0,11,true
cubic_3.0_5.0_4.5_5.5_500_50.csv,2.0268506872866965e-9,4.2281090597463617e-16,8.0,8,true
cubic_3.0_-5.5_-2.0_-1.0_950_48.csv,7.770850141142205e-7,1.2659480569377322e-11,6.0,6,true
cubic_3.0_-6.5_2.0_-10.0_650_32.csv,1.8744478058607683e-7,1.1519769465594074e-11,6.0,6,true
cubic_3.0_-6.5_-2.5_9.0_150_20.csv,2.1729436561201965e-7,3.3520735344874687e-12,6.0,6,true
cubic_-3.0_-8.0_9.5_8.5_800_96.csv,4.774976207766457e-6,3.8114720289059714e-10,8.0,8,true
cubic_3.0_-8.5_-0.5_-0.5_750_105.csv,1.862526799456532e-10,4.838416853991673e-18,8.0,8,true
cubic_-3.0_-8.5_-1.0_0.0_900_135.csv,8.901397992033822e-7,2.2490739582883932e-11,12.0,12,true
cubic_3.0_-9.0_-10.0_-4.0_200_40.csv,2.867065984309864,31.51736665523854,10.0,10,true
cubic_3.5_10.0_-10.0_-2.5_950_142.csv,8.328226996923149e-11,2.5672529503714015e-18,8.0,8,true
cubic_-3.5_10.0_-3.0_-2.0_450_50.csv,4.116963259193085e-8,1.6135356723385776e-14,10.0,10,true
cubic_3.5_1.0_-3.5_10.0_200_36.csv,6.344686163117785e-7,3.1358208511448346e-11,6.0,6,true
cubic_-3.5_1.5_-1.5_-3.0_750_180.csv,1.2747651378930414e-8,4.3890601747395797e-14,10.0,10,true
cubic_-3.5_2.5_5.5_4.5_1000_130.csv,4.105519906261179e-7,3.5039494315852566e-12,13.0,13,true
cubic_-3.5_-3.0_1.5_1.5_800_176.csv,4.025144558130181,3147.899445388026,6.0,6,true
cubic_-3.5_-3.5_8.5_5.0_800_80.csv,9.378098297929682e-11,2.8575825609659836e-18,7.0,7,true
cubic_-3.5_-6.0_-5.5_10.0_1000_100.csv,9.874412398858112e-11,2.2602286630678433e-18,10.0,10,true
cubic_-3.5_7.0_1.0_-1.5_950_209.csv,9.344391593835155e-9,5.690024075195092e-14,11.0,11,true
cubic_-3.5_9.0_-8.5_-5.5_750_98.csv,1.4845177531697118e-8,4.1996170764579457e-14,9.0,9,true
cubic_4.0_1.0_0.0_-8.0_550_126.csv,2.481903861905127,1268.010958704526,15.0,15,true
cubic_-4.0_-1.0_6.5_0.5_150_28.csv,3.608145740519042e-7,7.775269103092591e-12,6.0,6,true
cubic_-4.0_1.5_-2.5_6.0_300_33.csv,7.63610508158763e-10,1.00031854726754e-16,7.0,7,true
cubic_4.0_-2.0_-2.5_-8.0_1000_170.csv,5.4642425695305974e-8,1.3676659165434594e-12,8.0,8,true
cubic_4.0_-2.0_-4.0_2.0_450_68.csv,2.456575831644159e-9,5.639714306253678e-16,9.0,9,true
cubic_4.0_2.5_-8.5_8.0_350_52.csv,1.3955220978800753e-7,5.164569341140643e-12,8.0,8,true
cubic_-4.0_-4.0_3.5_-6.0_300_45.csv,3.674711201995251e-9,1.536884007521537e-15,6.0,6,true
cubic_4.0_4.0_5.0_2.5_300_30.csv,6.57947207827192e-9,6.4454250336112904e-15,7.0,7,true
cubic_4.0_-5.0_-9.5_7.0_350_66.csv,4.82298645465562e-11,4.257510663483148e-19,9.0,9,true
cubic_4.0_-5.5_-10.0_9.5_200_50.csv,3.805127590794655e-8,4.599712605903018e-14,8.0,8,true
cubic_-4.0_5.5_-6.0_7.5_700_49.csv,1.800994997580574e-7,1.2344591282647409e-11,6.0,6,true
cubic_-4.0_6.5_0.5_-4.0_950_48.csv,6.935747376424217e-8,3.8514248456326884e-12,5.0,5,true
cubic_4.0_-7.0_7.0_-1.0_550_50.csv,6.40120302562106,436.80174489538575,10.0,10,true
cubic_4.0_7.5_9.0_-5.5_750_172.csv,8.181612098923097e-8,1.938697113661357e-12,10.0,10,true
cubic_4.0_-8.0_5.0_-8.0_750_150.csv,8.09805904528582,43407.37427683396,5.0,5,true
cubic_-4.0_8.5_1.5_-2.5_550_94.csv,1.244440106518141e-10,3.864579735599158e-18,9.0,9,true
cubic_4.0_-9.0_1.5_-6.5_400_52.csv,8.510080381650392,972.7094304311311,4.0,4,true
cubic_4.0_9.5_9.5_1.5_100_18.csv,1.8758629538595528e-8,1.3131542878029403e-14,6.0,6,true
cubic_-4.5_0.5_-8.5_5.0_300_27.csv,2.103889507054646e-9,5.513386834671338e-16,6.0,6,true
cubic_-4.5_0.5_-8.5_-9.0_200_20.csv,5.227675126422964,116.75877309986677,7.0,7,true
cubic_4.5_10.0_-5.0_-8.0_150_11.csv,1.2872667038976715e-6,9.897208872349285e-11,5.0,5,true
cubic_-4.5_-2.5_-4.0_4.5_700_154.csv,2.3676856031329407e-9,1.5052741577653942e-15,12.0,12,true
cubic_4.5_9.5_-4.5_-2.0_950_180.csv,3.458366926167855e-11,4.620018882586279e-19,8.0,8,true
cubic_5.0_-1.0_-8.5_2.0_450_112.csv,1.6635961053168558e-8,4.804379899934259e-14,9.0,9,true
cubic_-5.0_-1.5_4.5_8.0_700_168.csv,2.12816431144347e-11,1.5632803035735663e-19,19.0,19,true
cubic_5.0_2.0_-2.5_5.0_350_70.csv,4.928373358284638,65.8965601832122,5.0,5,true
cubic_5.0_2.5_2.0_-3.0_150_32.csv,8.281362537402153,10413.82200353189,8.0,8,true
cubic_5.0_2.5_-7.5_-9.5_800_112.csv,1.1022800450177783e-9,1.8341642462778228e-16,7.0,7,true
cubic_5.0_-4.0_6.0_-7.0_200_16.csv,8.31088541097813e-7,9.248174057755779e-11,5.0,5,true
