prob,error,minimum,feval,niter,convergence
cubic_5.5_8.5_-6.0_-6.0_200_40.csv,2.533472326149422e-6,1.8445040410605696e-9,585.0,327,true
cubic_6.0_-0.5_-5.0_-1.5_800_176.csv,5.183493014371265e-6,2.3070783578528617e-8,561.0,316,true
cubic_6.0_-10.0_-7.5_-3.0_650_136.csv,2.465509044036196e-6,5.488865411882812e-9,558.0,319,true
cubic_-6.0_-1.0_-10.0_-5.5_200_34.csv,4.873783501224693e-6,2.6386829312247346e-9,526.0,299,true
cubic_6.0_-1.0_9.5_3.5_200_42.csv,1.4168639316025633e-5,6.024543953614567e-9,508.0,294,true
cubic_-6.0_-1.5_2.0_-8.5_750_68.csv,3.364157605600937e-6,2.2774164793172495e-9,516.0,306,true
cubic_-6.0_-3.0_8.5_-4.0_650_78.csv,4.533649363480663e-6,1.8312426812213093e-8,643.0,363,true
cubic_6.0_3.5_1.5_2.0_600_78.csv,4.859284387093155e-6,8.714391491117912e-9,599.0,340,true
cubic_6.0_4.5_-10.0_-5.0_900_144.csv,1.307800431504802e-6,8.579575145689665e-9,667.0,371,true
cubic_-6.0_4.5_6.5_3.5_150_33.csv,6.398175477428936e-6,7.1349337713940375e-9,498.0,284,true
cubic_-6.0_-4.5_-7.5_-6.5_500_120.csv,4.17409562025739e-6,4.942637485175945e-9,787.0,445,true
cubic_6.0_5.0_-5.5_-9.5_800_136.csv,6.555494732636012,405.84409579393434,559.0,314,true
cubic_6.0_-7.0_0.5_-8.0_800_112.csv,2.5972664721152228e-6,4.3555414455353246e-9,721.0,399,true
cubic_-6.0_-8.0_-9.0_-3.0_300_18.csv,3.2015683073538526e-6,3.29807355766651e-9,743.0,421,true
cubic_-6.0_9.0_10.0_5.0_1000_190.csv,2.744448711844427e-6,6.330029890204978e-9,790.0,442,true
cubic_6.0_9.5_0.5_5.0_600_90.csv,1.67322692412597e-6,4.738657160725789e-9,718.0,394,true
cubic_-6.5_1.0_3.5_1.5_800_96.csv,1.739627389252263e-6,2.059418018802612e-9,524.0,297,true
cubic_-6.5_-3.0_1.5_2.0_900_117.csv,6.379212410312363e-6,6.5232631211008665e-9,469.0,266,true
cubic_-6.5_-3.0_-1.5_-5.0_350_77.csv,2.954710850655573e-6,6.314583704605152e-9,655.0,370,true
cubic_6.5_-6.0_1.5_6.5_150_15.csv,2.5442616271575957e-6,4.424675534006239e-9,778.0,436,true
cubic_6.5_-6.5_-8.0_8.0_500_25.csv,3.311166224762019e-6,3.51859375530221e-9,447.0,252,true
cubic_-6.5_7.0_7.5_7.5_850_94.csv,4.700059032636261e-6,2.0871289869715386e-8,511.0,289,true
cubic_-6.5_8.0_-9.5_7.0_750_60.csv,6.352825540290041e-6,8.246889744596606e-9,453.0,252,true
